1: 40 | 40 (47 s)
2: 40 | 40 (49 s)
3: 40 | 40 (48 s)
4: 40 | 40 (48 s)
5: 40 | 40 (50 s)
6: 40 | 40 (44 s)
7: 40 | 40 (46 s)
8: 39 | 39 (44 s)
9: 39 | 39 (45 s)
10: 39 | 39 (46 s)
11: 39 | 39 (47 s)
12: 39 | 39 (45 s)
13: 39 | 39 (47 s)
14: 36 | 36 (44 s)
15: 36 | 36 (46 s)
16: 36 | 36 (45 s)
17: 36 | 36 (45 s)
18: 34 | 34 (41 s)
19: 34 | 34 (47 s)
20: 34 | 34 (48 s)
21: 34 | 34 (52 s)
22: 34 | 34 (52 s)
23: 34 | 34 (46 s)
24: 34 | 34 (50 s)
25: 34 | 34 (44 s)
26: 34 | 34 (49 s)
27: 34 | 34 (49 s)
28: 34 | 34 (48 s)
29: 34 | 34 (46 s)
30: 34 | 34 (43 s)
31: 34 | 34 (45 s)
32: 34 | 34 (51 s)
33: 34 | 34 (50 s)
34: 34 | 34 (48 s)
35: 34 | 34 (44 s)
36: 34 | 34 (46 s)
37: 34 | 34 (46 s)
38: 34 | 34 (47 s)
39: 34 | 34 (46 s)
40: 34 | 34 (48 s)
41: 34 | 34 (45 s)
42: 34 | 34 (49 s)
43: 34 | 34 (46 s)
44: 34 | 34 (44 s)
45: 34 | 34 (52 s)
46: 34 | 34 (46 s)
47: 34 | 34 (52 s)
48: 34 | 34 (45 s)
49: 34 | 34 (43 s)
50: 34 | 34 (52 s)
51: 34 | 34 (50 s)
52: 34 | 34 (49 s)
53: 34 | 34 (50 s)
54: 34 | 34 (54 s)
55: 34 | 34 (49 s)
56: 34 | 34 (47 s)
57: 34 | 34 (43 s)
58: 34 | 34 (45 s)
59: 34 | 34 (51 s)
60: 34 | 34 (47 s)
61: 34 | 34 (51 s)
62: 34 | 34 (51 s)
63: 34 | 34 (50 s)
64: 34 | 34 (47 s)
65: 34 | 34 (47 s)
66: 34 | 34 (52 s)
67: 34 | 34 (50 s)
68: 34 | 34 (53 s)
69: 34 | 34 (53 s)
70: 34 | 34 (52 s)
71: 34 | 34 (51 s)
72: 34 | 34 (51 s)
73: 34 | 34 (51 s)
74: 34 | 34 (50 s)
75: 34 | 34 (46 s)
76: 34 | 34 (57 s)
77: 34 | 34 (54 s)
78: 34 | 34 (50 s)
79: 31 | 31 (49 s)
80: 31 | 31 (51 s)
81: 31 | 31 (56 s)
82: 31 | 31 (50 s)
83: 31 | 31 (51 s)
84: 31 | 31 (55 s)
85: 31 | 31 (58 s)
86: 31 | 31 (55 s)
87: 31 | 31 (56 s)
88: 31 | 31 (51 s)
89: 31 | 31 (48 s)
90: 31 | 31 (53 s)
91: 31 | 31 (52 s)
92: 31 | 31 (57 s)
93: 31 | 31 (52 s)
94: 31 | 31 (55 s)
95: 31 | 31 (54 s)
96: 31 | 31 (54 s)
97: 31 | 31 (54 s)
98: 31 | 31 (50 s)
99: 31 | 31 (53 s)
100: 28 | 28 (52 s)
101: 28 | 28 (50 s)
102: 28 | 28 (49 s)
103: 28 | 28 (52 s)
104: 28 | 28 (52 s)
105: 28 | 28 (53 s)
106: 28 | 28 (49 s)
107: 28 | 28 (50 s)
108: 28 | 28 (49 s)
109: 28 | 28 (46 s)
110: 28 | 28 (51 s)
111: 28 | 28 (50 s)
112: 28 | 28 (51 s)
113: 28 | 28 (45 s)
114: 28 | 28 (52 s)
115: 28 | 28 (46 s)
116: 28 | 28 (53 s)
117: 28 | 28 (53 s)
118: 28 | 28 (53 s)
119: 28 | 28 (52 s)
120: 28 | 28 (52 s)
121: 28 | 28 (51 s)
122: 28 | 28 (48 s)
123: 28 | 28 (51 s)
124: 28 | 28 (49 s)
125: 28 | 28 (51 s)
126: 28 | 28 (53 s)
127: 28 | 28 (51 s)
128: 28 | 28 (54 s)
129: 28 | 28 (56 s)
130: 28 | 28 (44 s)
131: 28 | 28 (54 s)
132: 28 | 28 (47 s)
133: 28 | 28 (49 s)
134: 28 | 28 (52 s)
135: 28 | 28 (47 s)
136: 28 | 28 (51 s)
137: 28 | 28 (55 s)
138: 28 | 28 (53 s)
139: 28 | 28 (46 s)
140: 28 | 28 (52 s)
141: 28 | 28 (52 s)
142: 28 | 28 (55 s)
143: 28 | 28 (47 s)
144: 28 | 28 (51 s)
145: 28 | 28 (50 s)
146: 28 | 28 (55 s)
147: 28 | 28 (46 s)
148: 28 | 28 (50 s)
149: 28 | 28 (46 s)
150: 28 | 28 (53 s)
151: 28 | 28 (50 s)
152: 28 | 28 (46 s)
153: 28 | 28 (52 s)
154: 28 | 28 (57 s)
155: 28 | 28 (45 s)
156: 28 | 28 (49 s)
157: 28 | 28 (54 s)
158: 28 | 28 (52 s)
159: 28 | 28 (53 s)
160: 28 | 28 (53 s)
161: 28 | 28 (52 s)
162: 28 | 28 (48 s)
163: 28 | 28 (46 s)
164: 28 | 28 (56 s)
165: 28 | 28 (52 s)
166: 28 | 28 (52 s)
167: 28 | 28 (48 s)
