1: 453 | 453 (613 s)
2: 417 | 417 (540 s)
3: 409 | 409 (542 s)
4: 415 | 409 (534 s)
5: 406 | 406 (549 s)
6: 406 | 406 (549 s)
7: 402 | 402 (584 s)
8: 408 | 402 (567 s)
9: 408 | 402 (584 s)
10: 410 | 402 (570 s)
11: 407 | 402 (567 s)
12: 401 | 401 (544 s)
13: 413 | 401 (574 s)
14: 402 | 401 (575 s)
15: 396 | 396 (566 s)
16: 402 | 396 (546 s)
17: 400 | 396 (535 s)
18: 405 | 396 (551 s)
19: 402 | 396 (555 s)
20: 411 | 396 (549 s)
21: 406 | 396 (538 s)
22: 405 | 396 (521 s)
23: 395 | 395 (541 s)
24: 395 | 395 (532 s)
25: 393 | 393 (566 s)
26: 399 | 393 (533 s)
27: 401 | 393 (537 s)
28: 391 | 391 (554 s)
29: 399 | 391 (557 s)
30: 399 | 391 (534 s)
31: 405 | 391 (520 s)
32: 407 | 391 (543 s)
33: 400 | 391 (531 s)
34: 397 | 391 (520 s)
35: 388 | 388 (553 s)
36: 397 | 388 (530 s)
37: 395 | 388 (536 s)
38: 398 | 388 (509 s)
39: 403 | 388 (520 s)
40: 404 | 388 (554 s)
41: 401 | 388 (556 s)
42: 396 | 388 (565 s)
43: 405 | 388 (548 s)
44: 414 | 388 (535 s)
45: 401 | 388 (544 s)
46: 400 | 388 (530 s)
47: 404 | 388 (550 s)
48: 408 | 388 (590 s)
49: 401 | 388 (535 s)
50: 395 | 388 (547 s)
51: 407 | 388 (547 s)
52: 402 | 388 (546 s)
53: 402 | 388 (530 s)
54: 403 | 388 (556 s)
55: 400 | 388 (546 s)
56: 395 | 388 (564 s)
57: 398 | 388 (537 s)
58: 399 | 388 (543 s)
59: 393 | 388 (523 s)
60: 401 | 388 (556 s)
61: 400 | 388 (525 s)
62: 398 | 388 (548 s)
63: 388 | 388 (550 s)
64: 398 | 388 (534 s)
65: 394 | 388 (561 s)
66: 396 | 388 (559 s)
67: 386 | 386 (542 s)
68: 396 | 386 (530 s)
69: 399 | 386 (527 s)
70: 396 | 386 (537 s)
71: 390 | 386 (555 s)
72: 396 | 386 (563 s)
73: 405 | 386 (546 s)
74: 396 | 386 (523 s)
75: 403 | 386 (521 s)
76: 401 | 386 (565 s)
77: 404 | 386 (519 s)
78: 396 | 386 (530 s)
79: 394 | 386 (513 s)
80: 394 | 386 (560 s)
81: 392 | 386 (539 s)
82: 398 | 386 (527 s)
83: 394 | 386 (532 s)
84: 398 | 386 (548 s)
85: 395 | 386 (535 s)
86: 391 | 386 (517 s)
87: 405 | 386 (537 s)
88: 403 | 386 (510 s)
89: 397 | 386 (534 s)
90: 399 | 386 (544 s)
91: 399 | 386 (561 s)
92: 394 | 386 (580 s)
93: 397 | 386 (538 s)
94: 396 | 386 (522 s)
95: 400 | 386 (552 s)
96: 399 | 386 (534 s)
97: 399 | 386 (539 s)
98: 394 | 386 (532 s)
99: 400 | 386 (571 s)
100: 404 | 386 (536 s)
101: 396 | 386 (514 s)
102: 402 | 386 (517 s)
103: 402 | 386 (557 s)
104: 402 | 386 (579 s)
105: 402 | 386 (533 s)
106: 396 | 386 (551 s)
107: 399 | 386 (529 s)
108: 392 | 386 (542 s)
109: 395 | 386 (560 s)
110: 394 | 386 (546 s)
111: 403 | 386 (510 s)
112: 395 | 386 (545 s)
113: 401 | 386 (526 s)
114: 395 | 386 (543 s)
115: 402 | 386 (524 s)
116: 393 | 386 (549 s)
117: 390 | 386 (532 s)
118: 393 | 386 (548 s)
119: 396 | 386 (506 s)
120: 410 | 386 (555 s)
121: 403 | 386 (564 s)
122: 404 | 386 (519 s)
123: 394 | 386 (544 s)
124: 392 | 386 (573 s)
125: 395 | 386 (506 s)
126: 388 | 386 (551 s)
127: 402 | 386 (554 s)
128: 393 | 386 (534 s)
129: 392 | 386 (544 s)
130: 397 | 386 (545 s)
131: 393 | 386 (529 s)
132: 401 | 386 (562 s)
